Movie Name,Year of Release,Run Time in minutes,Movie Rating,Votes,MetaScore,Gross,Genre,Certification,Director,Stars,Description
Unlawful Entry,1992,111,6.4,18371,61.0,57140000.0,"['Crime', ' Drama', ' Thriller']",R,['Jonathan Kaplan'],"['Kurt Russell', 'Ray Liotta', 'Madeleine Stowe', 'Roger E. Mosley']","['A', 'burglar', 'holds', 'a', 'knife', 'to', ""Karen's"", 'throat', 'while', 'her', 'husband', 'does', 'nothing.', 'The', 'couple', 'ends', 'up', 'befriending', 'the', 'cop', 'that', 'comes.', 'The', 'friendship', 'ends', 'when', 'the', 'cop', 'beats', 'up', 'the', 'culprit.', 'Karen', ""isn't"", 'ready', 'to', 'end', 'it.', 'Things', 'get', 'ugly', 'with', 'the', 'cop.']"
A Boy and His Dog,1975,91,6.4,18670,68.0,6900000.0,"['Comedy', ' Drama', ' Sci-Fi']",R,['L.Q. Jones'],"['Don Johnson', 'Jason Robards', 'Susanne Benton', 'Tim McIntire']","['A', 'young', 'man', 'and', 'his', 'telepathic', 'dog', 'wander', 'a', 'post-apocalyptic', 'wasteland.']"
When a Stranger Calls,1979,97,6.4,13604,58.0,21410000.0,"['Horror', ' Mystery', ' Thriller']",R,['Fred Walton'],"['Carol Kane', 'Charles Durning', 'Rutanya Alda', 'Carmen Argenziano']","['A', 'psychopathic', 'killer', 'terrorizes', 'a', 'babysitter,', 'then', 'returns', 'seven', 'years', 'later', 'to', 'menace', 'her', 'again.']"
Step Up Revolution,2012,99,6.4,57538,43.0,35070000.0,"['Drama', ' Music', ' Romance']",PG-13,['Scott Speer'],"['Kathryn McCormick', 'Ryan Guzman', 'Cleopatra Coleman', 'Misha Gabriel Hamilton']","['Emily', 'arrives', 'in', 'Miami', 'with', 'aspirations', 'to', 'become', 'a', 'professional', 'dancer.', 'She', 'sparks', 'with', 'Sean,', 'the', 'leader', 'of', 'a', 'dance', 'crew', 'whose', 'neighborhood', 'is', 'threatened', 'by', ""Emily's"", ""father's"", 'development', 'plans.']"
The Housemaid,2010,107,6.4,12031,68.0,150000.0,"['Drama', ' Thriller']",Not Rated,['Im Sang-soo'],"['Jeon Do-yeon', 'Lee Jung-jae', 'Youn Yuh-jung', 'Woo Seo']","['A', ""man's"", 'affair', 'with', 'his', ""family's"", 'housemaid', 'leads', 'to', 'dark', 'consequences.']"
Stand Up Guys,2012,95,6.4,57124,41.0,3300000.0,"['Comedy', ' Crime', ' Thriller']",R,['Fisher Stevens'],"['Al Pacino', 'Christopher Walken', 'Alan Arkin', 'Julianna Margulies']","['A', 'pair', 'of', 'aging', 'stickup', 'men', 'try', 'to', 'get', 'the', 'old', 'gang', 'back', 'together', 'for', 'one', 'last', 'hurrah', 'before', 'one', 'of', 'the', 'guys', 'takes', 'his', 'last', 'assignment', '-', 'to', 'kill', 'his', 'comrade.']"
Son of a Gun,2014,108,6.4,29124,49.0,0.0,"['Action', ' Crime', ' Drama']",R,['Julius Avery'],"['Ewan McGregor', 'Brenton Thwaites', 'Alicia Vikander', 'Brendan Kerkvliet']","['JR', 'busts', 'out', 'of', 'prison', 'with', 'Brendan', 'Lynch,', ""Australia's"", 'most', 'notorious', 'criminal,', 'and', 'joins', ""Lynch's"", 'gang', 'for', 'a', 'gold', 'heist', 'that', 'soon', 'pits', 'the', 'two', 'men', 'against', 'one', 'another.']"
1492: Conquest of Paradise,1992,154,6.4,31856,47.0,7190000.0,"['Adventure', ' Biography', ' Drama']",PG-13,['Ridley Scott'],"['Gérard Depardieu', 'Armand Assante', 'Sigourney Weaver', 'Loren Dean']","['Christopher', ""Columbus'"", 'discovery', 'of', 'the', 'Americas', 'and', 'the', 'effect', 'this', 'has', 'on', 'the', 'indigenous', 'people.']"
War Room,2015,120,6.4,15680,26.0,67790000.0,['Drama'],PG,['Alex Kendrick'],"['Priscilla C. Shirer', 'T.C. Stallings', 'Karen Abercrombie', 'Beth Moore']","['A', 'seemingly', 'perfect', 'family', 'looks', 'to', 'fix', 'their', 'problems', 'with', 'the', 'help', 'of', 'Miss', 'Clara,', 'an', 'older,', 'wiser', 'woman.']"
Spies Like Us,1985,102,6.4,51921,22.0,60090000.0,"['Adventure', ' Comedy']",PG,['John Landis'],"['Chevy Chase', 'Dan Aykroyd', 'Mark Stewart', 'Sean Daniel']","['Two', 'bumbling', 'government', 'employees', 'think', 'they', 'are', 'U.S.', 'spies,', 'only', 'to', 'discover', 'that', 'they', 'are', 'actually', 'decoys', 'for', 'Nuclear', 'War.']"
Beach Rats,2017,98,6.4,15973,78.0,470000.0,['Drama'],R,['Eliza Hittman'],"['Harris Dickinson', 'Madeline Weinstein', 'Kate Hodge', 'Neal Huff']","['A', 'Brooklyn', 'teenager', 'spends', 'his', 'days', 'experimenting', 'with', 'drugs', 'and', 'looking', 'online', 'for', 'older', 'men', 'to', 'meet.']"
How to Lose Friends & Alienate People,2008,110,6.4,70547,35.0,2780000.0,"['Biography', ' Comedy', ' Drama']",R,['Robert B. Weide'],"['Simon Pegg', 'Kirsten Dunst', 'Megan Fox', 'Kelan Guy']","['A', 'British', 'writer', 'struggles', 'to', 'fit', 'in', 'at', 'a', 'high-profile', 'magazine', 'in', 'New', 'York', 'City.']"
Shaft,2019,111,6.4,57214,40.0,21360000.0,"['Action', ' Comedy', ' Crime']",R,['Tim Story'],"['Samuel L. Jackson', 'Jessie T. Usher', 'Richard Roundtree', 'Regina Hall']","['JJ', 'Shaft,', 'a', 'cyber', 'security', 'expert', 'with', 'a', 'degree', 'from', 'MIT,', 'enlists', 'his', ""family's"", 'help', 'to', 'uncover', 'the', 'truth', 'behind', 'his', 'best', ""friend's"", 'untimely', 'death.']"
The Serpent and the Rainbow,1988,98,6.4,27045,64.0,19600000.0,"['Fantasy', ' Horror']",R,['Wes Craven'],"['Bill Pullman', 'Cathy Tyson', 'Zakes Mokae', 'Paul Winfield']","['An', 'anthropologist', 'goes', 'to', 'Haiti', 'after', 'hearing', 'rumors', 'about', 'a', 'drug', 'used', 'by', 'black', 'magic', 'practitioners', 'to', 'turn', 'people', 'into', 'zombies.']"
Crazy/Beautiful,2001,99,6.4,25345,61.0,16930000.0,"['Drama', ' Romance']",PG-13,['John Stockwell'],"['Kirsten Dunst', 'Jay Hernandez', 'Bruce Davison', 'Herman Osorio']","['At', 'Pacific', 'Palisades', 'High,', 'a', 'poor', 'Latino', 'falls', 'hard', 'for', 'a', 'troubled', 'girl', 'from', 'an', 'affluent', 'neighborhood.']"
Rules of Engagement,2000,128,6.4,49618,45.0,61340000.0,"['Drama', ' Thriller', ' War']",R,['William Friedkin'],"['Tommy Lee Jones', 'Samuel L. Jackson', 'Guy Pearce', 'Ben Kingsley']","['An', 'attorney', 'defends', 'an', 'officer', 'on', 'trial', 'for', 'ordering', 'his', 'troops', 'to', 'fire', 'on', 'civilians', 'after', 'they', 'stormed', 'a', 'U.S.', 'embassy', 'in', 'a', 'Middle', 'Eastern', 'country.']"
Mississippi Grind,2015,108,6.4,25452,77.0,130000.0,"['Comedy', ' Drama']",R,"['Anna Boden', 'Ryan Fleck']","['Ben Mendelsohn', 'Ryan Reynolds', 'Yvonne Landry', 'Anthony Howard']","['Down', 'on', 'his', 'luck', 'and', 'facing', 'financial', 'hardship,', 'Gerry', 'teams', 'up', 'with', 'younger', 'charismatic', 'poker', 'player,', 'Curtis,', 'in', 'an', 'attempt', 'to', 'change', 'his', 'luck.', 'The', 'two', 'set', 'off', 'on', 'a', 'road', 'trip', 'through', 'the', 'South', 'with', 'visions', 'of', 'winning', 'back', ""what's"", 'been', 'lost.']"
Best of the Best,1989,97,6.4,14869,26.0,1700000.0,"['Action', ' Drama', ' Sport']",PG-13,['Robert Radler'],"['Eric Roberts', 'James Earl Jones', 'Sally Kirkland', 'Phillip Rhee']","['A', 'team', 'from', 'the', 'United', 'States', 'is', 'going', 'to', 'compete', 'against', 'Korea', 'in', 'a', 'Tae', 'Kwon', 'Do', 'tournament.', 'The', 'team', 'consists', 'of', 'fighters', 'from', 'all', 'over', 'the', 'country', '-', 'can', 'they', 'overcome', 'their', 'rivalry', 'and', 'work', 'together', 'to', 'win?']"
Brokedown Palace,1999,100,6.4,23698,44.0,10110000.0,"['Drama', ' Mystery', ' Thriller']",PG-13,['Jonathan Kaplan'],"['Claire Danes', 'Kate Beckinsale', 'Bill Pullman', 'Jacqueline Kim']","['Two', 'women', 'are', 'arrested', 'for', 'smuggling', 'while', 'vacationing', 'in', 'Thailand.']"
The Good Girl,2002,93,6.4,46628,71.0,14020000.0,"['Drama', ' Romance']",R,['Miguel Arteta'],"['Jennifer Aniston', 'Jake Gyllenhaal', 'Deborah Rush', 'Mike White']","['A', 'discount', 'store', 'clerk', 'strikes', 'up', 'an', 'affair', 'with', 'a', 'stock', 'boy', 'who', 'considers', 'himself', 'the', 'incarnation', 'of', 'Holden', 'Caulfield.']"
From Paris with Love,2010,92,6.4,120291,42.0,23980000.0,"['Action', ' Crime', ' Thriller']",R,['Pierre Morel'],"['John Travolta', 'Jonathan Rhys Meyers', 'Kasia Smutniak', 'Richard Durden']","['In', 'Paris,', 'a', 'young', 'employee', 'in', 'the', 'office', 'of', 'the', 'US', 'Ambassador', 'hooks', 'up', 'with', 'an', 'American', 'spy', 'looking', 'to', 'stop', 'a', 'terrorist', 'attack', 'in', 'the', 'city.']"
Factory Girl,2006,90,6.4,22130,45.0,1660000.0,"['Biography', ' Drama']",R,['George Hickenlooper'],"['Sienna Miller', 'Guy Pearce', 'Hayden Christensen', 'Jimmy Fallon']","['Based', 'on', 'the', 'rise', 'and', 'fall', 'of', 'socialite', 'Edie', 'Sedgwick,', 'concentrating', 'on', 'her', 'relationships', 'with', 'Andy', 'Warhol', 'and', 'a', 'folk', 'singer.']"
Mean Machine,2001,99,6.4,41116,45.0,90000.0,"['Comedy', ' Crime', ' Drama']",R,['Barry Skolnick'],"['Vinnie Jones', 'David Kelly', 'David Hemmings', 'Ralph Brown']","['A', 'football', 'star', 'jailed', 'for', 'assault', 'leads', 'a', 'group', 'of', 'inmates', 'in', 'a', 'match', 'against', 'prison', 'guards.']"
Cake,2014,102,6.4,38433,49.0,1870000.0,['Drama'],R,['Daniel Barnz'],"['Jennifer Aniston', 'Adriana Barraza', 'Anna Kendrick', 'Sam Worthington']","['The', 'acerbic,', 'hilarious', 'Claire', 'Bennett', 'becomes', 'fascinated', 'by', 'the', 'suicide', 'of', 'a', 'woman', 'in', 'her', 'chronic', 'pain', 'support', 'group.', 'As', 'she', 'uncovers', 'the', 'details', 'of', ""Nina's"", 'suicide', 'and', 'develops', 'a', 'poignant', 'relationship', 'with', ""Nina's"", 'husband,', 'she', 'also', 'grapples', 'with', 'her', 'own,', 'very', 'raw', 'personal', 'tragedy.']"
